NAMA_PROV,NAMA_KAB/KOTA,NOMOR 01,NOMOR 02,TOTAL,Total
ACEH,ACEH SELATAN,3267680,31334160,33405982645.0,33440584485.0
JAWA BARAT,BOGOR,375023070,885465120,,1260488190.0
JAWA BARAT,GARUT,182164112,472252248,,654416360.0
JAWA TIMUR,MALANG,459903990,150540390,,610444380.0
JAWA BARAT,BANDUNG,218071280,349137880,,567209160.0
JAWA BARAT,SUKABUMI,154648584,390676776,,545325360.0
JAWA BARAT,CIREBON,349333600,190568920,,539902520.0
BANTEN,TANGERANG,183421902,295648740,,479070642.0
JAWA BARAT,CIANJUR,166243320,279127440,,445370760.0
JAWA BARAT,KARAWANG,180666738,240793194,,421459932.0
